0.462044 0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200592	0.151029	-0.177595	-1.53131	-0.0442812	1.81296	0.748466	-4.97029e-05	-0.00096939	0.000653964	0.000886381	-2.61579e-05	-6.93816e-05	-0.0010174	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	0	0	0	0	0	0	-0	-0	-0	-0	-0	-0	-0	0	0	0	0	0	0	0	
0.107311 0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200592	0.151029	-0.177595	-1.53131	-0.0442812	1.81296	0.748466	-4.97029e-05	-0.00096939	0.000653964	0.000886381	-2.61579e-05	-6.93816e-05	-0.0010174	0.442938	-0.567115	0.504461	-0.0714179	-0.0426438	-0.0505912	-0.00715282	0.016379	-0.0064391	-0.0132803	-0.000265872	-0.00532224	0.00295082	0	0	0	0	0	0	0	-0.410488	-0.256999	-0.401786	0.303307	-0.11724	0.1239	0.0432379	-0.00715282	0.016379	-0.0064391	-0.0132803	-0.000265872	-0.00532224	0.00295082	
0.06495 0.620259	0.0183738	0.579145	0.00744136	0.934314	-0.348462	0.0746741	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200593	0.151035	-0.177601	-1.53132	-0.0442809	1.81296	0.748466	0.000758623	0.00300005	-0.00099207	8.76603e-05	0.000417989	0.000514442	-0.000290148	0.465302	-0.589926	0.523765	-0.0731283	-0.0445307	-0.0514186	-0.000755334	-0.0299926	-0.00139725	0.0210828	0.000322647	0.00678791	0.000488246	0	0	0	0	0	0	0	-0.425875	-0.266038	-0.416621	0.3155	-0.12094	0.129503	0.0439512	-0.000755334	-0.0299926	-0.00139725	0.0210828	0.000322647	0.00678791	0.000488246	
0.06017 0.620259	0.0183749	0.579142	0.00744139	0.934314	-0.348462	0.0746731	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200592	0.151035	-0.177597	-1.53132	-0.044281	1.81297	0.748469	-5.10632e-05	0.0018174	-0.000104577	0.00156736	0.000278659	0.00132631	0.00146808	0.484189	-0.607528	0.541226	-0.0744763	-0.0459111	-0.0517883	0.00262483	-0.0038036	0.00247961	-0.000615981	-0.000703325	-0.00287672	-0.00320541	0	0	0	0	0	0	0	-0.43751	-0.274108	-0.427863	0.32619	-0.123871	0.134182	0.0442268	0.00262483	-0.0038036	0.00247961	-0.000615981	-0.000703325	-0.00287672	-0.00320541	
0.06021 0.62026	0.0183755	0.579141	0.00744261	0.934315	-0.348461	0.0746716	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200595	0.151038	-0.1776	-1.53132	-0.044281	1.81296	0.748466	0.00117238	0.00262948	-0.000626537	0.00317422	0.000185773	0.000138218	0.000266644	0.500155	-0.623361	0.552586	-0.0757257	-0.0472333	-0.0521989	-0.00733596	-0.00398771	-0.00685012	-0.00183028	-0.000133226	-0.00295754	0.000707683	0	0	0	0	0	0	0	-0.448035	-0.279027	-0.43798	0.333688	-0.126509	0.137929	0.0445524	-0.00733596	-0.00398771	-0.00685012	-0.00183028	-0.000133226	-0.00295754	0.000707683	
0.05998 0.620262	0.0183757	0.57914	0.0074408	0.934314	-0.348461	0.0746722	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200593	0.151044	-0.177599	-1.53132	-0.0442772	1.81297	0.748466	0.000131975	0.0050236	0.000139115	0.00494275	0.000327299	9.21456e-05	0.000415121	0.514981	-0.640238	0.557044	-0.0771627	-0.0487021	-0.0526062	-0.00566413	-0.0160804	-0.00552462	0.00478466	8.11806e-05	-0.00167934	2.24161e-05	0	0	0	0	0	0	0	-0.459185	-0.280159	-0.448607	0.337856	-0.12938	0.141001	0.0448587	-0.00566413	-0.0160804	-0.00552462	0.00478466	8.11806e-05	-0.00167934	2.24161e-05	
0.059761 0.620263	0.018374	0.57913	0.00744482	0.934313	-0.348466	0.0746629	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200592	0.151052	-0.1776	-1.53133	-0.0442761	1.81297	0.748472	-0.000468828	0.00539663	-0.000464072	0.000867828	0.000218199	-0.000921914	0.00126009	0.534298	-0.661813	0.562074	-0.0790624	-0.0506185	-0.0529829	0.00855174	-0.0542485	0.00698888	0.0396847	0.000945997	0.0149101	-0.00362755	0	0	0	0	0	0	0	-0.473298	-0.281138	-0.462052	0.342921	-0.133125	0.144942	0.0451041	0.00855174	-0.0542485	0.00698888	0.0396847	0.000945997	0.0149101	-0.00362755	
0.05934 0.620265	0.018376	0.579126	0.00744921	0.934315	-0.348462	0.0746601	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200593	0.151061	-0.177599	-1.53132	-0.0442809	1.81296	0.748468	0.00024426	0.00664146	0.000247427	0.00672403	-0.000498794	-0.000614609	-0.00085536	0.55984	-0.688217	0.570835	-0.0814418	-0.0530677	-0.0533078	-0.0106329	-0.0233789	-0.0101199	0.00819175	0.00271476	-0.0007197	0.00353795	0	0	0	0	0	0	0	-0.490473	-0.283559	-0.478447	0.350604	-0.137802	0.150317	0.0452682	-0.0106329	-0.0233789	-0.0101199	0.00819175	0.00271476	-0.0007197	0.00353795	
0.059431 0.620267	0.0183742	0.579121	0.00745126	0.934314	-0.348464	0.0746574	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200592	0.151068	-0.177601	-1.53132	-0.0442812	1.81296	0.74847	-0.000393972	0.00610721	-0.000391863	0.00429155	-0.000129079	6.49784e-05	-9.5522e-05	0.589192	-0.717951	0.57784	-0.0842741	-0.0560192	-0.0535646	0.00340401	-0.0339141	0.00274493	0.0191066	0.0025554	0.00407203	-0.000580165	0	0	0	0	0	0	0	-0.509712	-0.284551	-0.496789	0.358075	-0.14322	0.156333	0.0453371	0.00340401	-0.0339141	0.00274493	0.0191066	0.0025554	0.00407203	-0.000580165	
0.05947 0.620268	0.0183731	0.579117	0.00745341	0.934315	-0.348463	0.0746545	0.620258	0.0183755	0.579149	0.0074395	0.934314	-0.34846	0.0746766	0.200588	0.151072	-0.177599	-1.53133	-0.0442821	1.81296	0.748466	-0.00146907	0.00563275	0.000295569	0.00144166	-0.000289503	0.000314586	-0.00152174	0.619801	-0.746257	0.582738	-0.0871374	-0.0592171	-0.0537703	0.0057078	-0.0506973	0.00437693	0.0349571	0.0035652	0.0112489	0.00173112	0	0	0	0	0	0	0	-0.528037	-0.284117	-0.514248	0.364844	-0.148552	0.162518	0.0453675	0.0057078	-0.0506973	0.00437693	0.0349571	0.0035652	0.0112489	0.00173112	
