0.04748 0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	-0	-0	-0	-0	-0	-0	0	0	0	0	0	0	
0.00413 0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	0.303632	-0.0250993	0.642542	-3.33067e-15	3.9968e-15	3.21965e-15	-1.11022e-15	3.19189e-16	-1.38778e-17	-2.22045e-15	1.26565e-14	-1.43219e-14	-1.82299	0.784543	0.247384	
0.00216 0.303632	-0.0250993	0.642542	0.303633	-0.0250998	0.642536	0.303632	-0.0250993	0.642542	0.303633	-0.0250998	0.642536	-0.0962016	0.075048	-0.0802375	0.0217606	0.00952941	0.00867018	0.0961209	-0.0754	0.080678	-1.84474	0.775029	0.238723	
0.01381 0.303632	-0.0250993	0.642542	0.303636	-0.0250984	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0250984	0.642535	-0.240619	0.232327	-0.0154901	0.0426941	0.0360679	0.0209348	0.240198	-0.23282	0.0158948	-1.86567	0.748506	0.226459	
0.00268 0.303632	-0.0250993	0.642542	0.303636	-0.0250998	0.642534	0.303632	-0.0250993	0.642542	0.303636	-0.0250998	0.642534	-0.239596	0.235366	-0.0183285	0.0429297	0.0359225	0.0207742	0.239213	-0.235847	0.0189177	-1.86591	0.748647	0.226624	
0.0022 0.303632	-0.0250993	0.642542	0.303636	-0.0250999	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0250999	0.642535	-0.241203	0.240126	-0.0215385	0.0433628	0.0360056	0.020603	0.240833	-0.240543	0.0220779	-1.86634	0.748564	0.226792	
0.00116 0.303632	-0.0250993	0.642542	0.303636	-0.0251005	0.642534	0.303632	-0.0250993	0.642542	0.303637	-0.0251005	0.642534	-0.243337	0.244785	-0.023807	0.043797	0.0361518	0.0204764	0.24289	-0.245227	0.0244651	-1.86677	0.748419	0.226922	
0.00136 0.303632	-0.0250993	0.642542	0.303636	-0.0251002	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0251003	0.642535	-0.244456	0.248254	-0.0247267	0.0440747	0.0362468	0.020449	0.244047	-0.248668	0.0253132	-1.86705	0.748324	0.226944	
0.00133 0.303632	-0.0250993	0.642542	0.303637	-0.0251004	0.642534	0.303632	-0.0250993	0.642542	0.303637	-0.0251004	0.642534	-0.244597	0.251049	-0.0248881	0.044265	0.0362618	0.0204848	0.244069	-0.251484	0.0255218	-1.86724	0.748308	0.226912	
0.00476 0.303632	-0.0250993	0.642542	0.303637	-0.0251003	0.642535	0.303632	-0.0250993	0.642542	0.303637	-0.0251004	0.642535	-0.244766	0.253006	-0.0259613	0.0443751	0.0362065	0.0205229	0.244307	-0.253383	0.0265211	-1.86735	0.748367	0.226871	
0.00446 0.303632	-0.0250993	0.642542	0.303638	-0.0250996	0.642534	0.303632	-0.0250993	0.642542	0.303638	-0.0250997	0.642534	-0.246087	0.253655	-0.0290336	0.0443221	0.0361635	0.0205926	0.245468	-0.254148	0.0296249	-1.8673	0.748409	0.226805	
0.00258 0.303632	-0.0250993	0.642542	0.303636	-0.0251012	0.642534	0.303632	-0.0250993	0.642542	0.303636	-0.0251012	0.642535	-0.24977	0.25476	-0.0320207	0.044304	0.0363661	0.0207256	0.249349	-0.255109	0.0326757	-1.86728	0.748203	0.226668	
0.00166 0.303632	-0.0250993	0.642542	0.303636	-0.0251008	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0251009	0.642535	-0.256798	0.257952	-0.0313576	0.0445732	0.0370543	0.0208948	0.256377	-0.258283	0.0319449	-1.86755	0.747516	0.226496	
0.00285 0.303632	-0.0250993	0.642542	0.303637	-0.0251022	0.642531	0.303632	-0.0250993	0.642542	0.303638	-0.0251023	0.642531	-0.26129	0.258057	-0.0248059	0.0446085	0.037671	0.0210338	0.260743	-0.25854	0.0257557	-1.86758	0.746903	0.226371	
0.0021 0.303632	-0.0250993	0.642542	0.303638	-0.0251007	0.642531	0.303632	-0.0250993	0.642542	0.303638	-0.0251008	0.642531	-0.258218	0.252657	-0.0128632	0.044135	0.0376636	0.0210748	0.257632	-0.25328	0.0137419	-1.86711	0.746912	0.22633	
0.0052 0.303632	-0.0250993	0.642542	0.303637	-0.0251004	0.642533	0.303632	-0.0250993	0.642542	0.303637	-0.0251005	0.642533	-0.250079	0.250598	-0.000208184	0.0440499	0.0371479	0.0209622	0.249542	-0.251128	0.000946949	-1.86702	0.747426	0.226437	
0.00412 0.303632	-0.0250993	0.642542	0.303637	-0.0251005	0.642533	0.303632	-0.0250993	0.642542	0.303637	-0.0251006	0.642533	-0.233646	0.260399	0.0101638	0.0451894	0.035717	0.0206998	0.233151	-0.260881	-0.00946273	-1.86817	0.748853	0.2267	
0.00309 0.303632	-0.0250993	0.642542	0.303636	-0.0251015	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0251016	0.642535	-0.20841	0.281796	0.0196974	0.047467	0.0334342	0.020462	0.208009	-0.282088	-0.0190564	-1.87044	0.751134	0.226934	
0.00222 0.303632	-0.0250993	0.642542	0.303636	-0.0251015	0.642535	0.303632	-0.0250993	0.642542	0.303636	-0.0251016	0.642535	-0.182608	0.306348	0.0325701	0.0500872	0.0312935	0.020379	0.182242	-0.306649	-0.0319271	-1.87306	0.753275	0.227017	
0.00465 0.303632	-0.0250993	0.642542	0.303637	-0.025102	0.642533	0.303632	-0.0250993	0.642542	0.303637	-0.0251021	0.642534	-0.162841	0.326032	0.0500987	0.0522669	0.0299576	0.0204589	0.162361	-0.326395	-0.049312	-1.87524	0.754613	0.226939	
0.00609 0.303632	-0.0250993	0.642542	0.303636	-0.025103	0.642534	0.303632	-0.0250993	0.642542	0.303636	-0.0251031	0.642534	-0.155396	0.343349	0.0664413	0.0541583	0.0298469	0.020655	0.155026	-0.343603	-0.0656287	-1.87714	0.75472	0.226741	
0.00312 0.303632	-0.0250993	0.642542	0.303636	-0.0251003	0.642531	0.303632	-0.0250993	0.642542	0.303636	-0.0251005	0.642532	-0.163864	0.363028	0.0759729	0.0561695	0.031119	0.0208618	0.163455	-0.363643	-0.0751602	-1.87914	0.753453	0.226539	
0.00388 0.303632	-0.0250993	0.642542	0.303637	-0.0250997	0.642528	0.303632	-0.0250993	0.642542	0.303637	-0.0250999	0.642529	-0.18464	0.382308	0.0785459	0.0580423	0.0333524	0.0209849	0.184098	-0.383176	-0.0775542	-1.88102	0.751224	0.226423	
0.00356 0.303632	-0.0250993	0.642542	0.303638	-0.0251008	0.642529	0.303632	-0.0250993	0.642542	0.303638	-0.025101	0.642529	-0.205977	0.390983	0.0792769	0.0587993	0.0354823	0.0210099	0.205383	-0.391742	-0.0782438	-1.88177	0.749094	0.226396	
